,Title_of_Video,Published_date,Views,Likes
131,Build a bar chart in Tableau: Use a bar chart to compare data across categories,2018-06-08,1261,6
132,Adding a filter in Tableau: Learn the different ways to add a filter in Tableau,2018-06-08,5720,26
133,Build a dashboard in Tableau: Learn how to create a new dashboard in Tableau,2018-06-08,811,7
134,Build a pie chart in Tableau: Show a proportion with a pie chart,2018-06-08,18082,37
135,A secondary axis chart: How to add a secondary axis in Tableau?,2018-06-07,4289,11
136,Data checks in Tableau: One more data check to see if the numbers are accurate,2018-06-07,2341,25
137,Data blending: When to use joining and when to use data blending in Tableau,2018-06-07,10455,120
138,How to make a data check in Tableau: A quick data check is better than no data check,2018-06-07,821,7
139,Joins in Tableau: Choose the correct join type,2018-06-07,1382,13
140,Creating great looking charts in Tableau: Real life Exercise on charts in Tableau,2018-06-07,1260,11
141,Building a Tableau dashboard: Three types of charts you want to have in a Tableau dashboard,2018-06-07,1178,7
142,"Joins in Tableau: Inner, outer, left, or a right join in Tableau",2018-06-07,37432,399
143,What is a filter in Tableau: Set up a filter in Tableau to specify the data you want to show,2018-06-07,1805,10
144,Gross Margin calculation in Tableau,2018-06-07,8220,48
145,Totals in Tableau: Learn how to display subtotals and totals in Tableau,2018-06-07,2760,6
146,Custom fields in Tableau: Add calculations to tables through custom fields,2018-06-07,5063,15
147,Custom fields in Tableau: Using Tableau operators to create custom fields,2018-06-07,1896,8
148,Build a table in Tableau: The steps needed to create a simple table in Tableau,2018-06-07,23390,47
149,Duplicating sheets: This is how to duplicate a sheet in Tableau,2018-06-06,3051,10
150,Tableau data visualization: Create your first Tableau visualization!,2018-06-06,10184,103
151,The Tableau interface: See how to navigate through the Tableau interface,2018-06-06,2789,30
152,Connecting data sources: Useful tips when connecting data sources to Tableau,2018-06-06,2718,16
153,Download Tableau: Learn how to download Tableau Public,2018-06-06,8968,57
154,Tableau vs Excel: When to use Tableau and when to use Excel,2018-06-06,21475,318
155,Data Science & Statistics: Matrix recycling in R,2018-04-27,427,4
156,Data frames in R - Getting a sense of your data,2018-04-27,366,5
157,Data frames in R - Transforming data PART I,2018-04-27,2071,25
158,Data frames in R - Import a CSV in R,2018-04-27,2907,11
159,Data Science & Statistics: Matrix operations in R,2018-04-27,774,6
160,Data frames - Creating a data frame,2018-04-27,2822,40
161,Data Science & Statistics: Slicing a matrix in R,2018-04-27,625,6
162,Data frames in R - Exporting data in R,2018-04-27,693,7
163,Data frames in R - Transforming data PART II,2018-04-27,538,9
164,Data Frames in R - Subsetting a data frame,2018-04-27,604,10
165,Data Science & Statistics: Matrix arithmetic in R,2018-04-27,370,5
166,Data Science & Statistics: Indexing an element from a matrix,2018-04-27,336,5
167,Data Frames in R - Extending a data frame,2018-04-27,2873,16
168,Data Science & Statistics: Creating a matrix in R FASTER,2018-04-27,246,6
169,Data Science & Statistics: Creating a Matrix in R,2018-04-27,1596,16
170,Data frames - Importing data in R,2018-04-27,1142,16
171,365 Data Science Online Program,2018-04-13,2451,33
172,Monte Carlo: Forecasting Stock Prices Part III,2017-11-28,2657,25
173,Monte Carlo: Forecasting Stock Prices Part II,2017-11-28,3168,22
174,Monte Carlo: Forecasting Stock Prices Part I,2017-11-28,7650,47
175,Backpropagation. A peak into the mathematics of optimization,2017-11-10,479,13
176,Conditional Statements and Loops,2017-11-06,2103,12
177,Database vs Spreadsheet - Advantages and Disadvantages,2017-11-03,126041,1555
178,Relational Database Essentials,2017-11-03,9203,118
179,Database Terminology - A Beginners Guide,2017-11-03,11755,158
180,Working with Tuples in Python,2017-11-02,1170,6
181,The ELIF keyword [Python Fundamentals],2017-11-02,2737,18
182,VLOOKUP COLUMN and ROW - Handle large data tables with ease [Advanced Excel],2017-10-27,49885,162
183,VLOOKUP and MATCH another useful functions combination [Advanced Excel],2017-10-27,1138,17
184,INDIRECT Excel Function: How it works and when to use it [Advanced Excel],2017-10-27,19851,154
185,INDEX and MATCH application of the two functions separately and combined [Advanced Excel],2017-10-26,3055,48
186,Simple linear regression model. Geometrical representation,2017-08-11,1275,21
187,The linear regression model,2017-08-11,16387,308
188,Hypothesis testing. Null vs alternative,2017-08-11,413392,4807
189,Type I error vs Type II error,2017-08-11,298086,5282
190,Student's T Distribution,2017-08-11,105254,1342
191,Central limit theorem,2017-08-11,131397,1890
192,The Normal Distribution,2017-08-11,5509,77
193,What is a distribution?,2017-08-11,19917,303
194,Skewness,2017-08-11,13466,183
195,"Statistics Tutorials: Mean, median and mode",2017-08-11,6741,126
196,Data Science & Statistics: Levels of measurement,2017-08-11,75095,968
197,Population vs Sample,2017-08-11,337049,2956
